tmdb_id,imdb_id,titulo_es,titulo_en,titulo_original,titulo_archivo,anio,decada,fecha_estreno,generos,director,guionistas,compositor,elenco,personajes,duracion_min,sinopsis,sinopsis_en,tagline,tagline_en,certificacion,idioma_original,idiomas_hablados,paises,productoras,keywords,coleccion_tmdb,presupuesto_usd,recaudacion_usd,tmdb_rating,tmdb_votos,popularidad,poster_path,backdrop_path,disco,coleccion,tipo,estado,carpeta,nombre_archivo,extension,tamano_mb,ruta_completa,n_copias,todas_ubicaciones
11,tt0076759,La guerra de las galaxias,Star Wars,Star Wars,Star Wars Episode IV A New Hope,1977,1970s,1977-05-25,"Aventura, Acción, Ciencia ficción",George Lucas,George Lucas,John Williams,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, Anthony Daniels",,121,"La princesa Leia, líder del movimiento rebelde que desea reinstaurar la República en la galaxia en los tiempos ominosos del Imperio, es capturada por las malévolas Fuerzas Imperiales, capitaneadas por el implacable Darth Vader, el sirviente más fiel del emperador. El intrépido Luke Skywalker, ayudado por Han Solo, capitán de la nave espacial ""El Halcón Milenario"", y los androides, R2D2 y C3PO, serán los encargados de luchar contra el enemigo y rescatar a la princesa para volver a instaurar la justicia en el seno de la Galaxia.",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"Hace mucho tiempo, en una galaxia muy lejana...","A long time ago in a galaxy far, far away...",PG,en,English,United States of America,"Lucasfilm Ltd., 20th Century Fox","empire, galaxy, rebellion, android, hermit, smuggling (contraband), freedom, rebel, rescue mission, space, planet, desert, super power, oppression, space opera, nostalgic, wizard, totalitarianism, tuwaderalit",La guerra de las galaxias - Colección,11000000,775398007,8.2,22210,26.5639,https://image.tmdb.org/t/p/w500/ahT4ObS7XKedQkOSpGr1wQ97aKA.jpg,https://image.tmdb.org/t/p/w1280/yUiXA68FfQeA8cRBhd0Ao0jIRZt.jpg,library_pt1,Colección,Película,coleccion,NA,1977 - Star Wars Episode IV A New Hope.mp4,mp4,1990.7,/Volumes/library_pt1/1970s/1977 - Star Wars Episode IV A New Hope.mp4,1,library_pt1: 1977 - Star Wars Episode IV A New Hope.mp4 (1990.7 MB)
12,tt0266543,Buscando a Nemo,Finding Nemo,Finding Nemo,Finding Nemo,2003,2000s,2003-05-30,"Animación, Familia, Aventura",Andrew Stanton,"David Reynolds, Bob Peterson, Andrew Stanton",Thomas Newman,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Geoffrey Rush, Brad Garrett",,100,"Nemo, un pececillo, hijo único muy querido y protegido por su padre, ha sido capturado en un arrecife australiano y ahora vive en una pecera en la oficina de un dentista de Sidney. El tímido padre de Nemo se embarcará en una peligrosa aventura para rescatar a su hijo. Pero Nemo y sus nuevos amigos tienen también un astuto plan para escapar de la pecera y volver al mar.","Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.","Hay 3,7 billones de peces en el océano, están buscando uno.",There are 3.7 trillion fish in the ocean. They're looking for one.,G,en,English,United States of America,Pixar,"fish, sydney, australia, parent child relationship, anthropomorphism, harbor, underwater, shark, pelican, fish tank, great barrier reef, sea turtle, missing child, aftercreditsstinger, duringcreditsstinger, short-term memory loss, clownfish, father son reunion, protective father, playful, sympathetic",Buscando a Nemo - Colección,94000000,940335536,7.818,20464,20.8627,https://image.tmdb.org/t/p/w500/jPhak722pNGxQIXSEfeWIUqBrO5.jpg,https://image.tmdb.org/t/p/w1280/eCynaAOgYYiw5yN5lBwz3IxqvaW.jpg,library_pt1,Colección,Película,coleccion,NA,2003 - Finding Nemo (4K).mkv,mkv,16680.3,/Volumes/library_pt1/2000s/2003 - Finding Nemo (4K).mkv,1,library_pt1: 2003 - Finding Nemo (4K).mkv (16680.3 MB)
13,tt0109830,Forrest Gump,Forrest Gump,Forrest Gump,Forrest Gump,1994,1990s,1994-06-23,"Comedia, Drama, Romance",Robert Zemeckis,Eric Roth,Alan Silvestri,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Mykelti Williamson, Michael Conner Humphreys",,142,"Forrest Gump es un chico con deficiencias mentales no muy profundas y con alguna incapacidad motora que, a pesar de todo, llegará a convertirse, entre otras cosas, en un héroe durante la Guerra del Vietnam. Su persistencia y bondad le llevarán a conseguir una gran fortuna, ser objeto del clamor popular y a codearse con las más altas esferas sociales y políticas del país. Siempre sin olvidar a Jenny, su gran amor desde que era niño.","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",La vida es como una caja de bombones... nunca sabes lo que te va a tocar,The world will never be the same once you've seen it through the eyes of Forrest Gump.,PG-13,en,English,United States of America,"Paramount Pictures, The Steve Tisch Company, Wendy Finerman Productions","new year's eve, vietnam war, vietnam veteran, mentally disabled, friendship, usa president, washington dc, usa, post-traumatic stress disorder (ptsd), waitress, based on novel or book, hippie, single parent, parent child relationship, optimism, 1970s, drug addiction, autism, alabama, black panther party, bus stop, family relationships, chameleon, single mother, military, anti war protest, 1960s, college american football, mother son relationship, america, hilarious, whimsical, feel-good",NA,55000000,677387716,8.464,29611,30.1888,https://image.tmdb.org/t/p/w500/azV6hV99lYkdhydsQbJCI6FqMl4.jpg,https://image.tmdb.org/t/p/w1280/67HggiWaP9ZLv5sPYmyRV37yAJM.jpg,library_pt1,Colección,Película,coleccion,NA,1994 - Forrest Gump (4K).mkv,mkv,36609.9,/Volumes/library_pt1/1990s/1994 - Forrest Gump (4K).mkv,1,library_pt1: 1994 - Forrest Gump (4K).mkv (36609.9 MB)
14,tt0169547,American Beauty,American Beauty,American Beauty,American Beauty,1999,1990s,1999-09-15,Drama,Sam Mendes,Alan Ball,Thomas Newman,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley, Mena Suvari, Peter Gallagher",,122,"Divertida, inquietante y sorprendente incursión en la América suburbana a través de las vidas de Lester y Carolyn, una pareja perteneciente a la clase medio-alta cuyo matrimonio -y cuyas vidas- lentamente se deshacen. Carolyn odia a su marido, su hija lo desprecia y su jefe está a punto de despedirlo. Así que Lester decide cambiar algunas cosas en su vida; a medida que va siendo más libre, consigue ser más feliz, lo que enfurece más a su esposa y a su hija.","Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",...fíjate bien,... look closer,R,en,English,United States of America,"DreamWorks Pictures, Jinks/Cohen Company","estate agent, adultery, coming out, first time, virgin, cheating, parent child relationship, age difference, midlife crisis, cheerleader, dark comedy, rose, satire, dysfunctional family, suburbia, coming of age, sexual fantasy, dysfunctional marriage, marijuana, loneliness, love affair, exercise, extramarital affair, realtor, voyeurism, quitting a job, neighborhood, philosophical, retired army man, closeted homosexual, singing in a car, gay theme, intimate, existential, teenager, camcorder",NA,15000000,356296601,7.999,12980,10.4039,https://image.tmdb.org/t/p/w500/wdXHzwh4DCifigYD50YEYM6CJS3.jpg,https://image.tmdb.org/t/p/w1280/2ndw55F40IkALzWyjCCza3M6nqM.jpg,library_pt1,Colección,Película,coleccion,NA,1999 - American Beauty.mkv,mkv,6578.5,/Volumes/library_pt1/1990s/1999 - American Beauty.mkv,1,library_pt1: 1999 - American Beauty.mkv (6578.5 MB)
15,tt0033467,Ciudadano Kane,Citizen Kane,Citizen Kane,Citizen Kane,1941,1940s,1941-04-17,"Misterio, Drama",Orson Welles,"Orson Welles, Herman J. Mankiewicz",Bernard Herrmann,"Orson Welles, Joseph Cotten, Dorothy Comingore, Ray Collins, George Coulouris, Agnes Moorehead",,119,"Un importante financiero estadounidense, Charles Foster Kane, dueño de una importante cadena de periódicos, de una red de emisoras, de dos sindicatos y de una inimaginable colección de obras de arte, muere en su fabuloso castillo de estilo oriental, Xanadú. La última palabra que pronuncia al expirar es Rosebud. El país entero y la prensa en general quedan intrigados por saber el significado de esta palabra. Para descubrirlo, un grupo de periodistas se pone a investigar.","Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",La clásica historia del poder y la prensa.,Some called him a hero...others called him a heel.,NR,en,English,United States of America,"Mercury Productions, RKO Radio Pictures","media tycoon, florida, art collector, newspaper, capitalist, journalist, sleigh, banker, american dream, failure, money, black and white, told in flashback, snowglobes, kids, based on real person",NA,839727,23218000,7.977,6016,8.5975,https://image.tmdb.org/t/p/w500/w7V0bv38Z0q0DgHmMfcGM4WRNTv.jpg,https://image.tmdb.org/t/p/w1280/9Y85oA1y6toL2OACXdaC6iTl7eQ.jpg,library_pt1,Colección,Película,coleccion,NA,1941 - Citizen Kane.mp4,mp4,1905.3,/Volumes/library_pt1/1940s/1941 - Citizen Kane.mp4,1,library_pt1: 1941 - Citizen Kane.mp4 (1905.3 MB)
18,tt0119116,El quinto elemento,The Fifth Element,Le Cinquième Élément,The Fifth Element,1997,1990s,1997-05-02,"Ciencia ficción, Acción, Aventura",Luc Besson,"Robert Mark Kamen, Luc Besson",Éric Serra,"Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm, Chris Tucker, Luke Perry",,127,"Cada 5.000 años se abre una puerta entre las dimensiones. En una dimensión existe el Universo y la vida. En la otra dimensión existe un elemento que no está hecho ni de tierra, ni de fuego, ni de aire, ni de agua, sino que es una anti-energía, la anti-vida: es el quinto elemento.","In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",No hay futuro sin él.,There is no future without it.,PG-13,fr,"English, Swedish, German",France,Gaumont,"new york city, flying car, taxi, egypt, race against time, saving the world, cyborg, dystopia, anti hero, stowaway, space travel, chosen one, arms dealer, alien life-form, end of the world, priest, shootout, police chase, cab driver, cyberpunk, archaeologist, space opera, military, opera singer, futuristic city, ancient evil, cruise liner, hieroglyphics, spaceship, good versus evil, science fantasy",NA,90000000,263920180,7.566,11615,13.024,https://image.tmdb.org/t/p/w500/wnps5IL8YpeJpZvciDRXt7yZF8a.jpg,https://image.tmdb.org/t/p/w1280/jW21PoKwqs79wk6bfiYezox63mK.jpg,library_pt1,Colección,Película,coleccion,NA,1997 - The Fifth Element (Remastered).mp4,mp4,2456.7,/Volumes/library_pt1/1990s/1997 - The Fifth Element (Remastered).mp4,1,library_pt1: 1997 - The Fifth Element (Remastered).mp4 (2456.7 MB)
19,tt0017136,Metrópolis,Metropolis,Metropolis,Metropolis,1927,1920s,1927-01-10,"Drama, Ciencia ficción",Fritz Lang,"Fritz Lang, Thea von Harbou","Gottfried Huppertz, Otto Harzner","Gustav Fröhlich, Brigitte Helm, Alfred Abel, Rudolf Klein-Rogge, Theodor Loos, Fritz Rasp",,153,"En una megalópolis del año 2000, los obreros están condenados a vivir recluidos en un gueto subterráneo, donde se encuentra el corazón industrial de la ciudad. Sin embargo, incitados por un robot, se rebelan contra la clase dominante y amenazan con destruir la ciudad exterior. Freder (Gustav Frölich), el hijo del soberano de Metrópolis, y María, una muchacha de origen humilde, intentarán evitar la destrucción apelando a los sentimientos y al amor.","In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",No puede haber acuerdo entre las manos y el cerebro a menos que el corazón actúe como mediador.,There can be no understanding between the hands and the brain unless the heart acts as mediator.,NR,de,No Language,Germany,UFA,"future, metropolis, class society, man vs machine, underground world, tower of babel, based on novel or book, inventor, dystopia, delirium, mad scientist, prophet, steampunk, grim reaper, black and white, robot, destruction, silent film, nostalgic, expressionism, seven deadly sins, depravity, partially lost film, mob justice, downtrodden, saviour, social unrest, german expressionism, mediator, dramatic, suspenseful",NA,5300000,1350322,8.089,3076,5.1279,https://image.tmdb.org/t/p/w500/fCWd45ybxghuvaeSMcBsLFKY6PG.jpg,https://image.tmdb.org/t/p/w1280/eeMoFKxjjiCi6iep2GEZtSAMYIr.jpg,library_pt1,Colección,Película,coleccion,NA,1927 - Metropolis.mkv,mkv,9379.9,/Volumes/library_pt1/1920s/1927 - Metropolis.mkv,1,library_pt1: 1927 - Metropolis.mkv (9379.9 MB)
24,tt0266697,Kill Bill: Volumen 1,Kill Bill: Vol. 1,Kill Bill: Vol. 1,Kill Bill Vol.,2003,2000s,2003-10-10,"Acción, Crimen",Quentin Tarantino,Quentin Tarantino,RZA,"Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah, David Carradine, Michael Søren Madsen",,111,"Uma Thurman es una asesina que, el día de su boda, es atacada por los miembros de la banda de su jefe, Bill (David Carradine). Logra sobrevivir al ataque, aunque queda en coma. Cinco años después despierta con un trozo de metal en la cabeza y un gran deseo de venganza en su corazón.","An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",La sangrienta historia de una venganza,Here comes the bride.,R,en,"English, Japanese, French",United States of America,"Miramax, A Band Apart, Super Cool ManChu","martial arts, japan, kung fu, sword, yakuza, sword fight, revenge, vigilante, female yakuza, samurai sword, retribution, dreary",Kill Bill - Colección,30000000,180906076,7.97,18829,13.2899,https://image.tmdb.org/t/p/w500/j5HFN6ZbGqZepIQ7sZRX9dMu8uk.jpg,https://image.tmdb.org/t/p/w1280/iffzIhuLAO38Po6sh1s6ZEVwlNL.jpg,library_pt1,Colección,Película,coleccion,NA,2004 - Kill Bill Vol. 2.mkv,mkv,6455.7,/Volumes/library_pt1/2000s/2004 - Kill Bill Vol. 2.mkv,2,library_pt1: 2004 - Kill Bill Vol. 2.mkv (6455.7 MB) | library_pt1: 2003 - Kill Bill Vol.1.mkv (5124.6 MB)
28,tt0078788,Apocalypse Now,Apocalypse Now,Apocalypse Now,Apocalypse Now,1979,1970s,1979-05-19,"Drama, Bélica",Francis Ford Coppola,"John Milius, Francis Ford Coppola","Carmine Coppola, Francis Ford Coppola","Martin Sheen, Marlon Brando, Frederic Forrest, Albert Hall, Laurence Fishburne, Sam Bottoms",,147,"Durante la guerra de Vietnam, al joven Capitán Willard, un oficial de los servicios de inteligencia del ejército estadounidense, se le ha encomendado entrar en Camboya con la peligrosa misión de eliminar a Kurtz, un coronel renegado que se ha vuelto loco. El capitán deberá ir navegar por el río hasta el corazón de la selva, donde parece ser que Kurtz reina como un buda despótico sobre los miembros de la tribu Montagnard, que le adoran como a un dios.","At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",Esto es el fin...,This is the end...,R,en,"Khmer, English, French, Vietnamese",United States of America,American Zoetrope,"guerrilla warfare, vietnam war, journalist, mission, vietnam, vietcong, central intelligence agency (cia), cambodia, army, drug abuse, based on novel or book, secret mission, insanity, surrealism, tribe, green beret, jungle, descent into madness, brutality, riverboat, military, macabre, anti war, absurd, awestruck, distressing",NA,31500000,150000000,8.268,9026,14.5773,https://image.tmdb.org/t/p/w500/zJXRrkJTlcb5x87v4VWN1zZX0Xk.jpg,https://image.tmdb.org/t/p/w1280/49fzLedFVKgGgFChLMuulDJBY1c.jpg,library_pt1,Colección,Película,coleccion,NA,1979 - Apocalypse Now (4K).mkv,mkv,29076.5,/Volumes/library_pt1/1970s/1979 - Apocalypse Now (4K).mkv,1,library_pt1: 1979 - Apocalypse Now (4K).mkv (29076.5 MB)
33,tt0105695,Sin perdón,Unforgiven,Unforgiven,Unforgiven,1992,1990s,1992-08-07,Western,Clint Eastwood,David Webb Peoples,Lennie Niehaus,"Clint Eastwood, Gene Hackman, Morgan Freeman, Jaimz Woolvett, Richard Harris, Saul Rubinek",,131,"William Munny es un pistolero retirado, viudo y padre de familia, que tiene dificultades económicas para sacar adelante a su hijos. Su única salida es hacer un último trabajo. En compañía de un viejo colega y de un joven inexperto, Munny tendrá que matar a dos hombres que cortaron la cara a una prostituta.","William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",Algunas leyendas nunca serán olvidadas. Algunos errores nunca pueden ser perdonados.,Some legends will never be forgotten. Some wrongs can never be forgiven.,R,en,English,United States of America,"Warner Bros. Pictures, Malpaso Productions","prostitute, sheriff, right and justice, regret, wyoming, usa, kansas, usa, revenge, mutilation, one last job, reputation, 19th century, englishman, somber, pig farmer, excited",NA,14400000,159157447,7.906,4916,7.5017,https://image.tmdb.org/t/p/w500/bhcVwMko4DbSELZapIQv4mmdPKY.jpg,https://image.tmdb.org/t/p/w1280/rvRGFevvZK48onX0PYI1eQLbuJd.jpg,library_pt1,Colección,Película,coleccion,NA,1992 - Unforgiven (4K).mkv,mkv,16207.1,/Volumes/library_pt1/1990s/1992 - Unforgiven (4K).mkv,1,library_pt1: 1992 - Unforgiven (4K).mkv (16207.1 MB)
