disco,coleccion,tipo,estado,titulo_archivo,anio_archivo,carpeta,nombre_archivo,extension,tamano_mb,ruta_completa,nombre_limpio
horror,Found Footage,Película,coleccion,The Connection,1961,,1961 - The Connection.mp4,mp4,649.9,/Volumes/horror/found footage collection/1961 - The Connection.mp4,1961 - The Connection
horror,Found Footage,Película,coleccion,Cannibal Holocaust,1980,,1980 - Cannibal Holocaust.mp4,mp4,1529.2,/Volumes/horror/found footage collection/1980 - Cannibal Holocaust.mp4,1980 - Cannibal Holocaust
horror,Found Footage,Película,coleccion,84C MoPic,1989,,1989 - 84C MoPic.mp4,mp4,948.6,/Volumes/horror/found footage collection/1989 - 84C MoPic.mp4,1989 - 84C MoPic
horror,Found Footage,Película,coleccion,The McPherson Tape,1989,,1989 - The McPherson Tape.mkv,mkv,972.4,/Volumes/horror/found footage collection/1989 - The McPherson Tape.mkv,1989 - The McPherson Tape
horror,Found Footage,Película,coleccion,Man Bites Dog,1993,,1993 - Man Bites Dog.mkv,mkv,4474.9,/Volumes/horror/found footage collection/1993 - Man Bites Dog.mkv,1993 - Man Bites Dog
horror,Found Footage,Película,coleccion,Forgotten Silver,1995,,1995 - Forgotten Silver.mp4,mp4,1070.1,/Volumes/horror/found footage collection/1995 - Forgotten Silver.mp4,1995 - Forgotten Silver
horror,Found Footage,Película,coleccion,Alien Abduction Incident in Lake County,1998,,1998 - Alien Abduction Incident in Lake County.avi,avi,508.4,/Volumes/horror/found footage collection/1998 - Alien Abduction Incident in Lake County.avi,1998 - Alien Abduction Incident in Lake County
horror,Found Footage,Película,coleccion,The Last Broadcast,1998,,1998 - The Last Broadcast.mp4,mp4,1385,/Volumes/horror/found footage collection/1998 - The Last Broadcast.mp4,1998 - The Last Broadcast
horror,Found Footage,Película,coleccion,The Blair Witch Project,1999,,1999 - The Blair Witch Project.mp4,mp4,1298.1,/Volumes/horror/found footage collection/1999 - The Blair Witch Project.mp4,1999 - The Blair Witch Project
horror,Found Footage,Película,coleccion,The St. Francisville Experiment,2000,,2000 - The St. Francisville Experiment.mp4,mp4,318.6,/Volumes/horror/found footage collection/2000 - The St. Francisville Experiment.mp4,2000 - The St. Francisville Experiment
horror,Found Footage,Película,coleccion,August Underground,2001,,2001 - August Underground.mp4,mp4,1489.4,/Volumes/horror/found footage collection/2001 - August Underground.mp4,2001 - August Underground
horror,Found Footage,Película,coleccion,August Underground Mordum,2003,,2003 - August Underground Mordum.mp4,mp4,2149.8,/Volumes/horror/found footage collection/2003 - August Underground Mordum.mp4,2003 - August Underground Mordum
horror,Found Footage,Película,coleccion,Behind the Mask The Rise of Leslie Vernon,2006,,2006 - Behind the Mask The Rise of Leslie Vernon.mkv,mkv,1368.3,/Volumes/horror/found footage collection/2006 - Behind the Mask The Rise of Leslie Vernon.mkv,2006 - Behind the Mask The Rise of Leslie Vernon
horror,Found Footage,Película,coleccion,August Underground Penance,2007,,2007 - August Underground Penance.mp4,mp4,2006.1,/Volumes/horror/found footage collection/2007 - August Underground Penance.mp4,2007 - August Underground Penance
horror,Found Footage,Película,coleccion,Diary of the Dead,2007,,2007 - Diary of the Dead.mp4,mp4,1525.5,/Volumes/horror/found footage collection/2007 - Diary of the Dead.mp4,2007 - Diary of the Dead
